Route_long_name,Transport_type,Stop_name,Stop_search,Stop_lat,Stop_lon,Arrival_time,avg_sentiment,avg_rating,main_sentiment
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Mentara Baru,KTM MENTARA BARU,4.78934,102.01179,25:57:00,0.05505,4.25,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,MENTRI,KTM MENTRI,3.246451,102.411322,29:53:00,,,
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Merapoh,KTM MERAPOH,4.69314,102.00328,26:02:00,0.1765625,4.5,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,PADANG PIOL,KTM PADANG PIOL,4.0011,102.4022,28:14:00,,,
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Pdg.Tungku,KTM PADANG TUNKU,4.23397,101.98883,27:10:00,0.15836666666666668,3.8666666666666667,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Paloh,KTM PALOH,2.186932,103.193987,33:38:00,0.19565000000000002,4.5,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Pan Malayan,KTM PAN MALAYAN,4.91299,101.977,25:11:00,0.0,3.0,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Rengam,KTM RENGGAM,1.884852,103.403207,34:18:00,0.17771304347826086,4.521739130434782,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,ROMPIN,KTM ROMPIN,2.810356,102.404968,31:29:00,,,
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,SEDENAK,KTM SEDENAK,1.712253,103.522491,34:41:00,,,
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Segamat,KTM SEGAMAT,2.507074,102.813959,32:44:00,0.15354594594594592,3.72972972972973,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,SENAI,KTM SENAI,1.663129,103.600489,35:01:00,,,
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,SERTING,KTM SERTING,2.810356,102.404968,31:01:00,,,
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Sungai Koyan,KTM SUNGAI KOYAN,4.963018,102.010637,24:57:00,0.030355555555555556,3.2222222222222223,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Sungai Sirian,KTM SUNGAI SIRIAN,5.0337,102.04945,24:51:00,,,
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Sungai Tasin,KTM SUNGAI TASIN,5.19518,102.01353,24:02:00,0.19063333333333332,4.666666666666667,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Sungai Temau,KTM SUNGAI TEMAU,4.49778,101.9474,26:29:00,-0.037,4.25,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Teluk Gunong,KTM TELUK GUNONG,4.63526,101.99271,26:08:00,0.0,2.0,Neutral
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,TEMBELING,KTM TEMBELING,4.3373,102.3006,28:10:00,0.2411,1.0,Positive
Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,Triang,KTM TRIANG,3.246451,102.411322,29:59:00,0.06879999999999999,4.181818181818182,Neutral
Intercity Shuttle Tebrau JB Sentral - Woodlands,KTM,JB SENTRAL,KTM JB SENTRAL,1.463147,103.764445,5:00:00,0.102807,4.49,Neutral
Intercity Shuttle Tebrau JB Sentral - Woodlands,KTM,Woodlands,KTM WOODLANDS,1.443716,103.769551,5:05:00,0.09570206611570248,3.4214876033057853,Neutral
Intercity Shuttle Tumpat - Gemas,KTM,KUALA LIPIS,KTM KUALA LIPIS,4.186634,102.053791,1:50:00,0.2152770833333333,4.75,Neutral
Intercity Shuttle Tumpat - Gemas,KTM,Pdg.Tungku,KTM PADANG TUNKU,4.23397,101.98883,1:58:00,0.15836666666666668,3.8666666666666667,Neutral
Intercity Shuttle Tumpat - Gemas,KTM,KG TELANG,KTM KG TELANG,4.186634,102.053791,2:03:00,,,
Intercity Shuttle Tumpat - Gemas,KTM,B.Betong,KTM BUKIT BETONG,4.39984,101.92368,2:07:00,0.1302,4.285714285714286,Neutral
Intercity Shuttle Tumpat - Gemas,KTM,Kg.Berkam,KTM KAMPUNG BERKAM,4.20116,102.05187,2:14:00,0.3294,3.0,Neutral
Intercity Shuttle Tumpat - Gemas,KTM,Dura,KTM DURA,4.459419,101.940204,2:19:00,0.6588,5.0,Positive
Intercity Shuttle Tumpat - Gemas,KTM,Aur Gading,KTM AUR GADING,4.44072,101.95489,2:22:00,0.0,5.0,Neutral
Intercity Shuttle Tumpat - Gemas,KTM,Chegar Perah,KTM CHEGAR PERAH,4.49059,101.94379,2:30:00,0.074,4.0,Neutral
Intercity Shuttle Tumpat - Gemas,KTM,Sungai Temau,KTM SUNGAI TEMAU,4.49778,101.9474,2:58:00,-0.037,4.25,Neutral
Intercity Shuttle Tumpat - Gemas,KTM,KUBANG RUSA,KTM KUBANG RUSA,4.69314,102.00328,3:13:00,0.0,5.0,Neutral
Intercity Shuttle Tumpat - Gemas,KTM,Teluk Gunong,KTM TELUK GUNONG,4.63526,101.99271,3:18:00,0.0,2.0,Neutral
Intercity Shuttle Tumpat - Gemas,KTM,Merapoh,KTM MERAPOH,4.69314,102.00328,3:24:00,0.1765625,4.5,Neutral
Intercity Shuttle Tumpat - Gemas,KTM,Mentara Baru,KTM MENTARA BARU,4.78934,102.01179,3:30:00,0.05505,4.25,Neutral
Intercity Shuttle Tumpat - Gemas,KTM,LAPAN TUPAI,KTM LAPAN TUPAI,4.878941,101.966634,3:44:00,,,
Intercity Shuttle Tumpat - Gemas,KTM,Gua Musang,KTM GUA MUSANG,4.878941,101.966634,3:50:00,0.18865913978494625,4.440860215053763,Neutral
KL Monorail Line,MONORAIL,KL SENTRAL,MONORAIL KL SENTRAL,3.132852,101.687817,06:00:00,0.153703,4.15,Neutral
