Stop_search,Stop_name,Route_long_name,Transport_type,avg_sentiment,avg_rating,main_sentiment
KTM KUALA LIPIS,KUALA LIPIS,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,0.2152770833333333,4.75,Neutral
KTM KUALA LIPIS,KUALA LIPIS,Intercity Shuttle Tumpat - Gemas,KTM,0.2152770833333333,4.75,Neutral
KTM KUALA LUMPUR,KUALA LUMPUR,,KTM,0.107558,3.78,Neutral
KTM KUALA LUMPUR,KUALA LUMPUR,Electric Train Service Padang Besar - Gemas,KTM,0.107558,3.78,Neutral
KTM KUANG,KUANG,,KTM,0.09081132075471697,3.7169811320754715,Neutral
KTM KUANG,KUANG,Electric Train Service Padang Besar - Gemas,KTM,0.09081132075471697,3.7169811320754715,Neutral
KTM KUBANG RUSA,KUBANG RUSA,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,0.0,5.0,Neutral
KTM KUBANG RUSA,KUBANG RUSA,Intercity Shuttle Tumpat - Gemas,KTM,0.0,5.0,Neutral
KTM KULAI,Kulai,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,0.11362058823529413,3.588235294117647,Neutral
KTM LABIS,Labis,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,0.10606666666666666,4.666666666666667,Neutral
KTM LABU,LABU,,KTM,0.07704222222222222,4.111111111111111,Neutral
KTM LAHAT,LAHAT,Electric Train Service Padang Besar - Gemas,KTM,0.0,1.0,Neutral
KTM LAPAN TUPAI,LAPAN TUPAI,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,,,
KTM LAPAN TUPAI,LAPAN TUPAI,Intercity Shuttle Tumpat - Gemas,KTM,,,
KTM LAYANG-LAYANG,Layang-Layang,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,0.0252875,4.75,Neutral
KTM LIMAU KASTURI,Limau Kasturi,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,0.08270909090909091,4.363636363636363,Neutral
KTM LIMAU KASTURI,Limau Kasturi,Intercity Shuttle Tumpat - Gemas,KTM,0.08270909090909091,4.363636363636363,Neutral
KTM LONDAH,LONDAH,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,,,
KTM LONDAH,LONDAH,Intercity Shuttle Tumpat - Gemas,KTM,,,
KTM MANEK URAI,Manek Urai,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,0.1101,4.75,Neutral
KTM MANEK URAI,Manek Urai,Intercity Shuttle Tumpat - Gemas,KTM,0.1101,4.75,Neutral
KTM MELA,Mela,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,0.004150000000000001,4.0,Neutral
KTM MELA,Mela,Intercity Shuttle Tumpat - Gemas,KTM,0.004150000000000001,4.0,Neutral
KTM MENGKARAK,Mengkarak,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,0.0,3.25,Neutral
KTM MENGKARAK,Mengkarak,Intercity Shuttle Tumpat - Gemas,KTM,0.0,3.25,Neutral
KTM MENGKIBOL,Mengkibol,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,0.0,5.0,Neutral
KTM MENGKUANG,Mengkuang,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,0.11717999999999999,4.8,Neutral
KTM MENGKUANG,Mengkuang,Intercity Shuttle Tumpat - Gemas,KTM,0.11717999999999999,4.8,Neutral
KTM MENTAKAB,Mentakab,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,0.13664520547945205,4.424657534246576,Neutral
KTM MENTAKAB,Mentakab,Intercity Shuttle Tumpat - Gemas,KTM,0.13664520547945205,4.424657534246576,Neutral
KTM MENTARA BARU,Mentara Baru,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,0.05505,4.25,Neutral
KTM MENTARA BARU,Mentara Baru,Intercity Shuttle Tumpat - Gemas,KTM,0.05505,4.25,Neutral
KTM MENTRI,MENTRI,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,,,
KTM MENTRI,MENTRI,Intercity Shuttle Tumpat - Gemas,KTM,,,
KTM MERAPOH,Merapoh,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,0.1765625,4.5,Neutral
KTM MERAPOH,Merapoh,Intercity Shuttle Tumpat - Gemas,KTM,0.1765625,4.5,Neutral
KTM MIDVALLEY,Midvalley,,KTM,0.012339,3.57,Neutral
KTM NIBONG TEBAL,Nibong Tebal,KTM Butterworth - Ipoh,KTM,0.125436,4.16,Neutral
KTM NIBONG TEBAL,Nibong Tebal,Electric Train Service Padang Besar - Gemas,KTM,0.125436,4.16,Neutral
KTM NILAI,Nilai,,KTM,0.027448999999999998,4.06,Neutral
KTM PADANG BESAR,PADANG BESAR,KTM Butterworth - Padang Besar,KTM,-0.015196000000000001,3.35,Neutral
KTM PADANG BESAR,PADANG BESAR,Electric Train Service Padang Besar - Gemas,KTM,-0.015196000000000001,3.35,Neutral
KTM PADANG JAWA,PADANG JAWA,,KTM,0.021313,3.6,Neutral
KTM PADANG PIOL,PADANG PIOL,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,,,
KTM PADANG PIOL,PADANG PIOL,Intercity Shuttle Tumpat - Gemas,KTM,,,
KTM PADANG RENGAS,PADANG RENGAS,KTM Butterworth - Ipoh,KTM,0.029930000000000002,4.5,Neutral
KTM PADANG RENGAS,PADANG RENGAS,Electric Train Service Padang Besar - Gemas,KTM,0.029930000000000002,4.5,Neutral
KTM PADANG TUNKU,Pdg.Tungku,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,0.15836666666666668,3.8666666666666667,Neutral
KTM PADANG TUNKU,Pdg.Tungku,Intercity Shuttle Tumpat - Gemas,KTM,0.15836666666666668,3.8666666666666667,Neutral
KTM PAHI,Pahi,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,0.21338,4.2,Neutral
KTM PAHI,Pahi,Intercity Shuttle Tumpat - Gemas,KTM,0.21338,4.2,Neutral
KTM PALOH,Paloh,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,0.19565000000000002,4.5,Neutral
KTM PAN MALAYAN,Pan Malayan,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,0.0,3.0,Neutral
KTM PAN MALAYAN,Pan Malayan,Intercity Shuttle Tumpat - Gemas,KTM,0.0,3.0,Neutral
KTM PANTAI DALAM,Pantai Dalam,,KTM,0.09406304347826087,3.5869565217391304,Neutral
KTM PARIT BUNTAR,PARIT BUNTAR,KTM Butterworth - Ipoh,KTM,0.11020779220779221,3.6233766233766236,Neutral
KTM PARIT BUNTAR,PARIT BUNTAR,Electric Train Service Padang Besar - Gemas,KTM,0.11020779220779221,3.6233766233766236,Neutral
KTM PASIR MAS,Pasir Mas,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,0.12646811594202897,4.231884057971015,Neutral
KTM PASIR MAS,Pasir Mas,Intercity Shuttle Tumpat - Gemas,KTM,0.12646811594202897,4.231884057971015,Neutral
KTM PETALING,PETALING,,KTM,0.04033589743589743,3.871794871794872,Neutral
KTM PORT KLANG,PEL. KLANG (S),,KTM,0.06883201506591337,4.022598870056497,Neutral
KTM PULAU SEBANG(TAMPIN),Pulau Sebang (Tampin),,KTM,0.06412385321100918,4.18348623853211,Neutral
KTM PUTRA,Putra,,KTM,0.08634959349593496,3.5203252032520327,Neutral
KTM PUTRA,Putra,Electric Train Service Padang Besar - Gemas,KTM,0.08634959349593496,3.5203252032520327,Neutral
KTM RASA,RASA,Electric Train Service Padang Besar - Gemas,KTM,0.057775,4.2,Neutral
KTM RASA,RASA,,KTM,0.057775,4.2,Neutral
KTM RAWANG,RAWANG,,KTM,0.04937560975609756,3.7439024390243905,Neutral
KTM RAWANG,RAWANG,Electric Train Service Padang Besar - Gemas,KTM,0.04937560975609756,3.7439024390243905,Neutral
KTM REMBAU,Rembau,,KTM,0.09840499999999999,3.95,Neutral
KTM RENGGAM,Rengam,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,0.17771304347826086,4.521739130434782,Neutral
KTM ROMPIN,ROMPIN,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,,,
KTM ROMPIN,ROMPIN,Intercity Shuttle Tumpat - Gemas,KTM,,,
KTM SALAK SELATAN,SALAK SELATAN,,KTM,0.04046229508196721,3.4098360655737703,Neutral
KTM SEDENAK,SEDENAK,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,,,
KTM SEGAMAT,Segamat,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,0.15354594594594592,3.72972972972973,Neutral
KTM SEGAMBUT,Segambut,,KTM,-0.03116981132075471,2.7169811320754715,Neutral
KTM SEGAMBUT,Segambut,Electric Train Service Padang Besar - Gemas,KTM,-0.03116981132075471,2.7169811320754715,Neutral
KTM SENAI,SENAI,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,,,
KTM SENAWANG,Senawang,,KTM,0.08153416149068324,3.998447204968944,Neutral
KTM SENTUL,SENTUL,,KTM,0.13225432098765433,3.802469135802469,Neutral
KTM SEPUTEH,Seputih,,KTM,-0.047726470588235294,3.4705882352941178,Neutral
KTM SERDANG,SERDANG,,KTM,0.05106776859504132,3.8016528925619837,Neutral
KTM SEREMBAN,SEREMBAN,,KTM,0.06002192174913694,3.8952819332566166,Neutral
KTM SERENDAH,Serendah,,KTM,-0.03804571428571427,3.3142857142857145,Neutral
KTM SERENDAH,Serendah,Electric Train Service Padang Besar - Gemas,KTM,-0.03804571428571427,3.3142857142857145,Neutral
KTM SERI SETIA,Seri Setia,,KTM,0.06787499999999999,3.5,Neutral
KTM SERTING,SERTING,Intercity Ekspres Rakyat Timuran Tumpat - JB Sentral,KTM,,,
KTM SERTING,SERTING,Intercity Shuttle Tumpat - Gemas,KTM,,,
KTM SETIA JAYA,SETIA JAYA,,KTM,0.01747080291970803,3.021897810218978,Neutral
KTM SHAH ALAM,SHAH ALAM,,KTM,0.07449126984126983,3.876984126984127,Neutral
KTM SIMPANG AMPAT,SIMPANG AMPAT,KTM Butterworth - Ipoh,KTM,0.01764545454545455,3.9318181818181817,Neutral
